,channel_subscribers,video_id,video_title,video_duration,video_artiste,video_tags,video_likes,video_dislikes,no_of_comments,video_views
17,66.1k,55450079,fucked_deep_in_front_of_tv,7 min,Ajibola Elizabeth,"anal,cumshot,cum,teen,black,ass,doggystyle,dick,big-cock,africa,black-cock,maamiigbagbo,ajibolaelizabeth", 435, 198,28,"285,086"
18,66.1k,53009883,creamy_and_juicy_pussy_taking_a_huge_fat_cock,11 min,Ajibola Elizabeth,"teen,black,tits,hot,cock,creampie,homemade,cute,big-ass,cams,big-cock,black-cock,maamiigbagbo,ajibola-elizabeth", 1.6k, 762,67,"1,247,197"
19,66.1k,54026281,sucking_tutorial,19 min,Ajibola Elizabeth,"teen,tits,blonde,ass,blowjob,amateur,big-ass,big-boobs", 360, 150,28,"208,114"
20,66.1k,52765151,maami_igbagbo_first_interview,16 min,Ajibola Elizabeth,"real,big-ass,reality,big-tits,interview,africa,nigeria,lagos,maamiigbagbo", 999, 657,65,"832,310"
21,66.1k,49727763,naughty_maami_igbagbo_fuck_old_friend,7 min,Ajibola Elizabeth,"tit,hairy,pussyfucking", 457, 234,21,"408,802"
22,66.1k,55318199,maami_s_n_a_p_c_h_a_t_extral_soles_videos..watch_till_end_,13 min,Ajibola Elizabeth,"anal,cumshot,cum,sex,teen,black,big,blonde,ass,creampie,blowjob,amateur,cute,big-ass,big-tits,big-cock,big-dick,nigeria,africa-teen,maamiigbagbo", 453, 321,23,"250,336"
23,66.1k,54769717,homemade,9 min,Ajibola Elizabeth,"anal,cumshot,ass,blowjob,doggystyle,amateur,big-ass,big-cock,big-boobs,africa,nigeria", 431, 212,49,"254,513"
24,66.1k,56316461,where_you_want_to_nut_at_,16 min,Ajibola Elizabeth,"cum,teen,black,big,creampie,amateur,big-ass,big-boobs", 222, 70,25,"135,636"
25,66.1k,50462671,maami_igbagbo_shaved_pussy_get_fucked_remaining_videos_on_red,8 min,Ajibola Elizabeth,"shaved,pussyfucking,big-ass", 399, 268,15,"385,175"
26,66.1k,53262709,drilling_ma_dildo,11 min,Ajibola Elizabeth,"dildo,teen,pussy,tits,sucking,ass,squirt,big-ass", 356, 155,34,"232,008"
27,66.1k,51299033,maami_igbagbo_s_shaved_pussy_getting_fucked_full_video_,19 min,Ajibola Elizabeth,"cumshot,cum,pussy,black,blonde,doggystyle,pussyfucking,big-ass,big-cock,black-cock", 508, 194,43,"343,486"
28,66.1k,49729593,she_masturbate_and_squirt,2 min,Ajibola Elizabeth,"tits,squirt,big-ass", 1.5k, 841,45,"1,476,870"
29,66.1k,50611167,maami_igbagbo_toying_her_sexy_pussy,7 min,Ajibola Elizabeth,"dildo,black,blonde,doggystyle,toys,big-ass", 385, 139,22,"233,867"
30,66.1k,49849101,fucking_my_new_toy,2 min,Ajibola Elizabeth,"fuck,toy,ebony,big-ass", 488, 202,19,"339,893"
31,66.1k,49728411,expensive_one_night_stand,6 min,Ajibola Elizabeth,"black,blonde,ass,wet,black-cock", 547, 259,22,"483,602"
32,66.1k,50546877,my_ghanaian_milf_girl_came_to_feature1,7 min,Ajibola Elizabeth,"pussy,milf,doggystyle,masturbation,dick,pussyfucking,bbw", 551, 401,12,"577,091"
33,66.1k,53596977,ma_pussy_wet_af,19 min,Ajibola Elizabeth,"anal,teen,pussy,black,big,ass,creampie,big-ass,big-tits,big-cock,africa,nigerian,lagos,maamiigbagbo,ajibolaelizabeth", 324, 139,31,"162,957"
34,66.1k,50000667,she_s_always_wanting_to_fuck_my_clients_so_i_fulfil_her_wish_this_time,2 min,Ajibola Elizabeth,"black,cock,big-ass", 593, 294,23,"546,322"
35,66.1k,53112191,maami_igbagbo_pussy_dripping,12 min,Ajibola Elizabeth,"teen,pussy,tits,creampie,amateur,masturbation,masturbate,webcam,cam", 426, 208,29,"295,177"
36,66.1k,53967737,you_can_t_get_enough_of_my_ass..onlyfans.com_maami-igbagbo,7 min,Ajibola Elizabeth,"teen,ass,amateur,big-ass", 331, 222,21,"280,103"
37,66.1k,49739943,verification_video,19 sec,Ajibola Elizabeth,verification-video, 155, 91,12,"273,148"
38,66.1k,51126291,my_ghanaian_milf_girl_full_video,9 min,Ajibola Elizabeth,"cumshot,black,blowjob,doggystyle,pussyfucking,horny", 358, 187,9,"299,160"
39,66.1k,49820089,fucking_my_stylist_back_to_back,4 min,Ajibola Elizabeth,"sucking,cock,big-ass,hardsex", 307, 172,19,"246,326"
40,66.1k,50065057,babe_want_a_video_call_so_i_use_the_opportunity_to_record_it,4 min,Ajibola Elizabeth,"facial,tits,masturbate", 307, 164,10,"219,099"
41,66.1k,51459791,maami_igbagbo_lifestyle_snapchat_maami_igbagbo_instagram_lizzydeass_onlyfans.com_maami-igbagbo..thanks_for_always_been_my_fans,20 min,Ajibola Elizabeth,"pussy,tits,toy,lingerie,public", 149, 85,16,"112,794"
42,66.1k,55885845,grammy_nominated_pussy,10 min,Ajibola Elizabeth,"teen,pussy,tits,sucking,doggystyle,deepthroat,big-ass,big-cock,sucking-dick", 213, 96,19,"157,448"
43,66.1k,45865975,maami_igbagbo_big_fat_ass,41 sec,Ajibola Elizabeth,"africa,nigeria", 82, 24,2,"120,170"
44,66.1k,49726301,maami_igbagbo_twerk_so_well,54 sec,Ajibola Elizabeth,"pussy,big-ass,lady,fresh,maamiigbagbo", 59, 30,4,"53,481"
45,15.9k,56792271,real_mad_boy_fucking_a_slay_queen_in_an_uncompleted_building_roughly_and_she_got_angry_ran_to_the_house_but_still_continue_it_on_the_chair,5 min,Queen Anita,"cumshot,black,hardcore,milf,doggystyle,wet,ebony,booty,big-ass,indian,bbw,america,big-tits,big-cock,big-dick,bbc,nigeria,black-cock,ghana,south-africa", 3.4k, 1.9k,67,"2,479,266"
46,15.9k,57017455,the_only_guy_man_who_own_bicycle_in_the_village_fucked_all_the_village_girls_and_people_wives_in_the_bush,8 min,Queen Anita,"cumshot,cum,black,fucking,tits,hot,milf,blowjob,wet,young,busty,ebony,POV,big-ass,indian,america,big-cock,bbc,nigeria,south-africa", 6.8k, 5.8k,85,"4,230,202"
47,15.9k,54992433,he_fucked_my_pussy_harder_than_his_big_brother_in_the_bush_thi_s_why_i_love_passed_through_this_way_because_i_enjoyed_bad_guys_bush_fuck,10 min,Queen Anita,"fucking,hardcore,hot,pornstar,milf,rough,wet,young,squirt,busty,ebony,hard,indian,bbw,bush,soloboy,nigeria,natural-tits,gay-amateur", 702, 371,11,"389,863"
48,15.9k,55389993,i_must_tell_chief_i_caught_her_in_the_bush_fucking,9 min,Queen Anita,"teen,black,hardcore,tits,hot,milf,blowjob,wet,busty,hairy,ebony,POV,big-ass,hard,indian,bush,big-dick,bbc,nigeria,gay-amateur", 4.5k, 3.6k,36,"3,765,456"
49,15.9k,56872159,my_seductive_sister_always_went_and_stay_naked_in_the_bathroom_when_ever_i_m_about_to_took_my_bath_so_today_i_fucked_her_so_deep,7 min,Queen Anita,"cum,black,hardcore,hot,blowjob,doggystyle,young,busty,hairy,ebony,POV,big-ass,indian,america,big-dick,nigeria,gay-amateur,gay-blowjob,south-africa", 110, 65,5,"61,593"
50,15.9k,57283557,i_must_fuck_this_girl_today_here_i_don_t_really_mind_all_they_are_doing_to_me_she_throw_water_on_me_her_father_chase_me_with_machete_but_i_don_t_care_it_s_better_they_kill_me_here,10 min,Queen Anita,"cumshot,cum,black,tits,blonde,milf,blowjob,doggystyle,wet,ebony,booty,POV,big-ass,indian,america,big-tits,big-dick,nigeria,south-africa,south-carolina", 4k, 3.2k,76,"2,370,906"
51,15.9k,56716257,she_said_pls_take_it_easy_your_dick_is_too_big_and_pls_cum_on_me_quick,6 min,Queen Anita,"black,hardcore,tits,hot,blowjob,amateur,wet,young,squirt,ebony,POV,big-ass,indian,america,18yo,big-cock,bbc,nigeria,black-cock,south-africa", 982, 638,11,"653,929"
52,15.9k,57353497,i_use_a_bicycle_with_an_hunter_gun_to_trick_and_forced_him_to_my_house_and_fucked_him_mercilessly,7 min,Queen Anita,"cumshot,cum,black,hardcore,tits,hot,milf,blowjob,doggystyle,wet,squirt,hairy,ebony,POV,indian,bbw,big-tits,bbc,nigeria,south-africa", 4, 3,1,"1,002"
53,15.9k,56070143,somewhere_in_africa_a_slay_house_wife_who_almost_fucked_with_everybody_in_a_tenanment_yard_inside_local_bathroom_caught_by_in-law,6 min,Queen Anita,"cumshot,cum,black,fucking,tits,hot,milf,homemade,wife,wet,squirt,ebony,big-ass,horny,indian,couple,bbc,nigeria,gay-amateur", 1.4k, 1.2k,18,"1,263,313"
54,15.9k,55013241,i_suduced_and_fucked_my_driver_who_was_about_to_take_me_to_school,5 min,Queen Anita,"cum,black,hardcore,hot,milf,amateur,young,squirt,ebony,public,horny,hard,indian,bbw,camgirl,black-cock,gay-amateur,gay-blowjob,gay-sex", 238, 130,5,"152,290"
55,15.9k,56006907,cripple_caught_fucking_underground,5 min,Queen Anita,"cumshot,cum,teen,black,hot,milf,blowjob,wet,squirt,ebony,dick,big-ass,horny,indian,america,big-tits,nigeria,black-cock,gay-amateur,south-africa", 839, 548,11,"680,355"
56,15.9k,56560225,the_blind_student_caught_by_hunter_fucked_in_the_bush_by_stranger_after_she_missed_her_school_bus,7 min,Queen Anita,"cumshot,teen,black,hardcore,hot,milf,blowjob,wet,young,squirt,ebony,POV,big-ass,indian,america,big-tits,big-cock,big-boobs,nigeria,gay-amateur", 3.5k, 2.5k,27,"2,127,918"
57,15.9k,55051837,he_enjoyed_my_blowjob_in_the_bush,10 min,Queen Anita,"teen,black,hardcore,hot,blowjob,slut,homemade,wet,ebony,pussyfucking,big-ass,indian,bbw,big-tits,big-cock,bbc,nigeria,black-cock,gay-sex", 227, 141,9,"160,065"
58,15.9k,55776219,native_doctor_last_more_than_two_hours_on_me_in_his_shrine_when_i_told_him_that_my_husband_can_not_last_two_minutes,7 min,Queen Anita,"cum,black,hardcore,tits,hot,blowjob,doggystyle,wet,squirt,hairy,ebony,big-ass,horny,indian,bbw,big-tits,bbc,nigeria,natural-tits,native-doctor", 1.5k, 1.1k,26,"1,255,832"
59,15.9k,57161939,he_loves_it_from_behind_in_the_bathroom,6 min,Queen Anita,"cumshot,cum,black,hardcore,hot,milf,blowjob,doggystyle,wet,young,hairy,ebony,POV,big-ass,indian,big-tits,portugal,nigeria,gay-amateur,south-africa", 145, 103,3,"93,165"
60,15.9k,56946691,he_blocked_me_and_fucked_me_under_the_rain_at_the_back_of_village_town_hall_bad_boys_zone,6 min,Queen Anita,"porn,cumshot,black,tits,hot,outdoor,milf,blowjob,rough,wet,ebony,indian,bbw,america,big-tits,bbc,nigeria,ghana,gay-amateur,south-africa", 803, 639,9,"602,539"
61,15.9k,56283927,the_missing_cripple_caught_fucking_by_the_village_area_boy_after_her_twenty_years_of_no_sex_watch_how_she_is_screaming_for_the_pains_of_her_leg_and_tits_creamy_pussy,7 min,Queen Anita,"cumshot,cum,teen,black,hot,pornstar,creampie,milf,wet,ebony,POV,blowjobs,big-ass,indian,america,nigeria,black-cock,cripple,gay-amateur,south-africa", 2.6k, 2.2k,23,"1,877,631"
62,15.9k,57217783,he_fucked_me_inside_uncompleted_with_rain_fall,6 min,Queen Anita,"cumshot,cum,black,hardcore,tits,hot,milf,blowjob,doggystyle,wet,young,hairy,ebony,dick,big-ass,indian,big-cock,nigeria,black-cock,south-africa", 670, 370,10,"520,601"
63,15.9k,56482575,this_is_an_abomination_fucking_in_chief_s_farm,7 min,Queen Anita,"cumshot,black,hardcore,hot,outdoor,milf,blowjob,wife,wet,ebony,POV,big-ass,indian,bbw,big-tits,bbc,nigeria,black-cock,gay-amateur,south-africa", 2.5k, 1.5k,34,"1,543,969"
64,15.9k,56403491,he_is_not_afraid_as_the_ma_ami_water_appears_in_the_river_he_went_and_fucked_with_her_just_to_make_money_and_power,8 min,Queen Anita,"cumshot,cum,teen,black,hardcore,hot,milf,blowjob,doggystyle,wet,young,hairy,ebony,big-ass,indian,bbw,big-tits,bbc,nigeria,south-africa", 836, 681,13,"572,688"
65,15.9k,57083441,oh_please_don_t_let_them_caught_us_here_in_the_village_uncompleted_building_in_the_bush_please_fuck_me_softly_you_are_too_hard_with_fucking_sounds,5 min,Queen Anita,"cumshot,cum,black,hardcore,tits,outdoor,brazilian,milf,rough,wet,young,busty,ebony,indian,bbw,america,big-tits,nigeria,ghana,south-africa", 2.5k, 1.3k,54,"1,727,761"
66,15.9k,56637791,african_housewife_couldnt_resist_to_fuck_a_native_doctor_at_his_shrine.,7 min,Queen Anita,"cumshot,teen,black,hot,milf,blowjob,wet,hairy,ebony,POV,big-ass,indian,bbw,america,big-cock,big-dick,bbc,nigeria,south-africa,native-doctor", 651, 376,9,"541,626"
67,15.9k,56176621,wow_what_a_mad_fuck_with_long_fat_cock_i_can_t_wait_for_him_to_cum_inside_me,6 min,Queen Anita,"pussy,black,tits,hot,milf,wet,young,squirt,student,ebony,big-ass,indian,bbw,big-tits,big-cock,big-dick,bbc,nigeria,gay-amateur,south-africa", 221, 128,6,"199,894"
68,15.9k,55913205,please_you_guys_should_harder_play_with_my_pussy_when_it_s_comes_to_money_i_m_shameless_pls_deep_your_hand_inside_my_tits_pussy,9 min,Queen Anita,"teen,black,hardcore,hot,ass,blowjob,doggystyle,wet,young,squirt,hairy,ebony,blowjobs,hardsex,bbw,big-tits,big-dick,bbc,nigeria,natural-tits", 572, 508,14,"451,702"
69,15.9k,55205643,university_student_fucked_a_guy_who_went_to_delivered_a_parcel_to_her_in_her_father_s_bedroom_queen_anita_,5 min,Queen Anita,"black,hardcore,tits,blonde,hot,milf,wet,young,ebony,POV,blowjobs,big-ass,hard,hardsex,big-tits,big-cock,gaysex,natural-tits,gay-amateur", 67, 44,6,"61,395"
70,15.9k,55645319,i_fucked_him_while_my_boyfriend_is_sleeping_in_the_same_bed_because_i_can_t_control_my_feelings_anymore,7 min,Queen Anita,"cumshot,cum,licking,tits,hot,sucking,blowjob,doggystyle,wet,young,squirt,ebony,big-ass,hard,indian,bbw,small-tits,bbc,nigeria,gay-amateur", 494, 390,5,"537,978"
71,15.9k,55143589,i_gave_him_best_of_my_blowjob_and_chair_sex,4 min,Queen Anita,"teen,black,hardcore,hot,milf,blowjob,handjob,wet,young,ebony,asian,POV,big-ass,hard,indian,big-tits,big-cock,nigeria,gay-amateur,sout-africa", 95, 62,8,"85,183"
72,15.9k,54936541,verification_video,29 sec,Queen Anita,verification-video, 28, 17,1,"12,317"
73,15.9k,55541403,i_smoke_cigarettes_with_my_pussy_and_fucked_three_strong_men_raw_no_condm,5 min,Queen Anita,"black,hardcore,tits,hot,rough,young,threesome,hairy,ebony,POV,big-ass,hard,indian,bbw,bbc,nigeria,black-cock,gay-amateur,south-africa,raw-pussy", 178, 116,4,"177,544"
74,15.9k,55296837,my_little_step_brother_made_me_squirt_and_his_friend_cum_inside_me_rodrigo_and_lima_pls_i_want_more_of_you_guys_threesome,7 min,Queen Anita,"teen,black,hardcore,hot,milf,blowjob,wet,young,threesome,squirt,ebony,monster,oral,big-ass,hard,indian,big-tits,big-cock,big-dick,big-boobs", 251, 198,11,"202,077"
75,44.5k,56765849,slim_bitch_with_big_tits_gets_fucked_hard_after_a_shower,10 min,The Queens Show,"teen,black,doggystyle,ebony,pussyfucking,black-cock", 224, 175,0,"118,615"
76,44.5k,57169469,cold_rainy_season_as_my_boyfriend_travels_so_i_fuck_his_junior_brother_dick_to_warm_me_up,10 min,The Queens Show,"cumshot,cum,black,creampie,amateur,wet,ebony,pussyfucking,big-ass,africa,black-cock,naija", 236, 120,11,"140,008"
77,44.5k,53917671,petit_teen_gets_fucked_really_hard_by_massive_dick_watch_how_she_screams_at_the_end_of_the_video,12 min,The Queens Show,"black,doggystyle,ebony,big-cock,bbc,black-cock", 4k, 3k,84,"2,855,508"
78,44.5k,57065337,i_met_a_random_stranger_on_facebook_and_he_gave_me_a_hardcore_fuck,10 min,The Queens Show,"black,hardcore,blowjob,doggystyle,ebony,pussyfucking,hardsex,africa,black-cock,naija", 133, 80,15,"82,343"
79,44.5k,57037355,my_ex_girlfriend_entertained_me_with_some_nude_dance_and_tease_got_my_monster_dick_hard_enough_to_fuck,10 min,The Queens Show,"black,hardcore,doggystyle,ebony,pussyfucking,big-cock,black-cock", 597, 371,16,"325,288"
80,44.5k,56777301,watching_that_ass_bent_over_makes_him_fuck_her_very_hard,11 min,The Queens Show,"black,sucking,blowjob,doggystyle,ebony,pussyfucking,bbc,black-cock", 916, 528,23,"481,553"
81,44.5k,55497651,indoors_with_my_big_ass_bbw_watch_as_i_bang_her_big_ass_hardcore,10 min,The Queens Show,"doggystyle,amateur,ebony,pussyfucking,big-ass,bbw,big-tits,big-dick,africa,black-cock,naija", 1.9k, 1.2k,23,"1,194,078"
82,44.5k,56687773,pussy_loving_maniac_rough_fucks_an_ebony_chick_and_creampied_her,10 min,The Queens Show,"black,hardcore,creampie,doggystyle,amateur,ebony,pussyfucking,africa,black-cock,naija", 554, 362,8,"289,717"
83,44.5k,56931425,gangbang_group_sex_hardcore_sex_scene_with_two_big_dicks,10 min,The Queens Show,"black,hardcore,doggystyle,mature,ebony,pussyfucking,big-ass,bbw,big-tits,big-cock,bbc,africa,black-cock,naija", 305, 215,17,"221,254"
84,44.5k,53838467,black_ebohy_chick_getting_fucked_hard,12 min,The Queens Show,"black,doggystyle,ebony,big-cock,africa,nigeria,black-cock", 3k, 1.8k,56,"2,107,692"
85,44.5k,57001087,house_maid_gets_oiled_and_fucked_by_the_gate_man_after_delivering_a_message_from_madam.,17 min,The Queens Show,"black,doggystyle,wet,ebony,pussyfucking,africa,black-cock,naija", 94, 62,0,"47,550"
86,44.5k,55688549,big_ass_bbw_getting_her_tight_pussy_ploughed_by_a_very_long_dick._it_went_deep,10 min,The Queens Show,"black,hardcore,doggystyle,ebony,pussyfucking,africa,black-cock,naija", 543, 347,10,"310,212"
87,44.5k,56554811,monster_cock_african_bangers_tore_up_my_black_ebony_pussy_real_hard_he_made_me_squirt,12 min,The Queens Show,"hardcore,doggystyle,mature,ebony,big-tits,big-cock,africa,black-cock,naija", 755, 448,46,"523,423"
88,44.5k,55981163,her_pussy_was_so_creamy_and_good_i_had_to_cum_inside_and_fill_her_up_creampie_,10 min,The Queens Show,"cumshot,pussy,black,hardcore,creampie,doggystyle,ebony,pussyfucking,big-ass,africa,black-cock,naija", 235, 125,5,"140,384"
89,44.5k,54660523,monster_cock_fucking_my_black_milf_pussy,11 min,The Queens Show,"black,milf,doggystyle,ebony,pussyfucking,bbc,africa,nigeria,black-cock,naija", 1k, 664,1,"722,052"
90,44.5k,56483389,fashion_loving_ebony_gets_fucked_by_her_boyfriend_after_seeing_her_sexy_dress_african_bangers,10 min,The Queens Show,"black,doggystyle,ebony,pussyfucking", 1.7k, 1.2k,34,"1,146,017"
91,44.5k,57007683,hardcore_group_sex_unexpected_in_a_hotel_in_abuja,10 min,The Queens Show,"cumshot,pussy,black,doggystyle,ebony,pussyfucking,big-cock,bbc", 217, 116,17,"131,753"
92,44.5k,56903475,watch_my_dripping_pussy_get_it_and_squirt_hardcore,17 min,The Queens Show,"cum,pussy,black,hardcore,fingering,wet,squirt,ebony,masturbation,africa,naija", 182, 103,7,"76,789"
93,44.5k,54060615,some_entertainment_before_the_fucking_begins,16 min,The Queens Show,"milf,blowjob,doggystyle,ebony,pussyfucking,big-tits,big-cock,black-cock", 973, 661,20,"576,134"
94,44.5k,55725101,fucking_my_boyfriends_room_mate,10 min,The Queens Show,"black,doggystyle,ebony,pussyfucking,big-tits,big-cock,bbc,black-cock", 809, 422,23,"481,885"
95,44.5k,52792353,fucking_my_house_maid_while_my_wife_was_away.,10 min,The Queens Show,"black,milf,blowjob,doggystyle,ebony,pussyfucking,african,nigerian,black-cock", 8.4k, 7.1k,78,"6,641,637"
96,44.5k,53918025,i_beat_that_pussy_up_on_valentines_evening_with_my_big_fat_cock,11 min,The Queens Show,"black,petite,doggystyle,ebony,pussyfucking,bbc,africa,nigeria,black-cock", 666, 394,21,"432,553"
97,44.5k,51779713,watch_him_open_up_this_tight_pussy,6 min,The Queens Show,"cumshot,black,ebony,hardsex,african,africa,black-cock", 2.5k, 1.4k,47,"1,717,744"
98,44.5k,55721933,madam_got_fucked_by_the_gate_man_while_her_husband_was_out_and_got_a_deep_creampie_from_it._cum_filled_pussy.,10 min,The Queens Show,"black,creampie,ebony,pussyfucking,big-ass,bbw,big-cock,africa,black-cock,naija", 1.9k, 927,44,"1,434,079"
99,44.5k,53946865,see_how_i_got_fucked_in_the_kitchen_by_a_big_dick_and_squirt,11 min,The Queens Show,"black,doggystyle,pussyfucking,big-cock,africa,nigeria,black-cock", 1.3k, 805,25,"938,823"
100,44.5k,55410071,hidden_camera_perv_caught_squeezing_and_fucking_his_house_maids_big_ass_while_his_wife_is_inside_the_house,10 min,The Queens Show,"black,ebony,big-ass,africa,nigeria,black-cock", 1.1k, 1k,0,"866,438"
101,44.5k,53955805,we_got_caught_fucking_at_the_stairs_watch_what_happens_after_that,11 min,The Queens Show,"ebony,pussyfucking,black-cock", 290, 227,4,"196,967"
102,44.5k,56484297,19_year_old_boy_gets_sucked_and_fucked_hard_by_his_bbw_sugar_mama._she_is_really_horny_today,10 min,The Queens Show,"teen,black,hardcore,blowjob,doggystyle,ebony,pussyfucking,big-ass,bbw,africa,naija", 313, 181,10,"181,823"
103,44.5k,54610755,big_black_cock_fucking_petite_teen_girl,10 min,The Queens Show,"black,sucking,petite,blowjob,doggystyle,ebony,pussyfucking,africa,nigeria,black-cock", 1k, 572,26,"578,873"
104,44.5k,53286767,birthday_fuck_with_a_big_squirt,10 min,The Queens Show,"cum,black,blowjob,doggystyle,squirt,big-ass", 1.8k, 1.3k,25,"1,157,878"
105,44.5k,52724453,horny_babe_i_came_back_from_work_and_she_wanted_to_fuck,10 min,The Queens Show,"black,hardcore,milf,blowjob,ebony,pussyfucking,hardsex,african,nigerian,black-cock,naija", 1.5k, 1.2k,27,"1,481,260"
106,44.5k,52500561,fucking_my_girl_after_the_costume_party,18 min,The Queens Show,"cumshot,black,hardcore,blowjob,squirt,ebony,pussyfucking,hardsex,african,big-dick,nigerian,naija", 1.6k, 1.1k,28,"1,183,436"
107,44.5k,56482903,naija_beauty_fucks_the_maintainance_man_in_the_wardrobe_african_bangers,10 min,The Queens Show,"black,hardcore,doggystyle,squirt,ebony,pussyfucking,big-cock,naijabeauty", 228, 149,8,"190,500"
108,44.5k,51994627,watch_me_fuck_my_neighbours_boyfriend,6 min,The Queens Show,"black,hardcore,hot,ebony,pussyfucking,hardsex,african,africa,nigeria,black-cock,naija", 1.3k, 544,54,"1,207,721"
109,44.5k,55005627,nigerian_fat_pussy_vivi_star_gets_fucked_by_kenyan_tourist,10 min,The Queens Show,"pussyfucking,black-cock", 366, 218,8,"186,179"
110,44.5k,53253373,sweet_creampie_with_my_neighbours_wife._she_creamed_on_my_dick_while_i_fucked.,10 min,The Queens Show,"creampie,milf,doggystyle,ebony,pussyfucking,big-ass,black-cock", 350, 138,14,"240,018"
111,44.5k,56106787,the_best_dick_riding_iv_ever_gotten_in_my_life_i_had_to_cum_in_that_sweet_pussy,10 min,The Queens Show,"black,hardcore,creampie,blowjob,doggystyle,ebony,pussyfucking,africa,black-cock,naija", 681, 361,9,"410,251"
112,44.5k,52116215,married_woman_fucking_the_cooks_huge_dick_while_her_husband_is_away,6 min,The Queens Show,"black,hardcore,ebony,big-ass,hardsex,african,africa,black-cock", 456, 262,23,"566,600"
113,44.5k,54767801,watch_my_bbw_fat_pussy_get_fucked_by_this_long_dick,10 min,The Queens Show,"black,milf,doggystyle,ebony,pussyfucking,africa,nigeria,black-cock", 476, 263,9,"300,282"
